x-axis,3,4,MATH
second,Volt,Volt,Volt
+32.8000E-06,+37.0117187500E+00,+36.6210937500E+00,-390.6250000E-03
+32.9000E-06,+37.2070312500E+00,+36.5234375000E+00,-683.5937500E-03
+33.0000E-06,+37.0117187500E+00,+36.6210937500E+00,-390.6250000E-03
+33.1000E-06,+37.1093750000E+00,+36.5234375000E+00,-585.9375000E-03
+33.2000E-06,+37.2070312500E+00,+36.7187500000E+00,-488.2812500E-03
+33.3000E-06,+37.2070312500E+00,+36.8164062500E+00,-390.6250000E-03
+33.4000E-06,+37.1093750000E+00,+36.8164062500E+00,-292.9687500E-03
+33.5000E-06,+37.1093750000E+00,+36.8164062500E+00,-292.9687500E-03
+33.6000E-06,+37.3046875000E+00,+36.8164062500E+00,-488.2812500E-03
+33.7000E-06,+37.2070312500E+00,+37.1093750000E+00,-97.6562500E-03
+33.8000E-06,+37.2070312500E+00,+36.8164062500E+00,-390.6250000E-03
+33.9000E-06,+37.5000000000E+00,+36.9140625000E+00,-585.9375000E-03
+34.0000E-06,+37.5000000000E+00,+37.3046875000E+00,-195.3125000E-03
+34.1000E-06,+37.5976562500E+00,+37.1093750000E+00,-488.2812500E-03
+34.2000E-06,+37.7929687500E+00,+37.0117187500E+00,-781.2500000E-03
+34.3000E-06,+37.6953125000E+00,+37.3046875000E+00,-390.6250000E-03
+34.4000E-06,+37.5976562500E+00,+37.1093750000E+00,-488.2812500E-03
+34.5000E-06,+37.7929687500E+00,+37.3046875000E+00,-488.2812500E-03
+34.6000E-06,+37.7929687500E+00,+37.3046875000E+00,-488.2812500E-03
+34.7000E-06,+37.8906250000E+00,+37.5000000000E+00,-390.6250000E-03
+34.8000E-06,+37.5976562500E+00,+37.3046875000E+00,-292.9687500E-03
+34.9000E-06,+37.8906250000E+00,+37.5976562500E+00,-292.9687500E-03
+35.0000E-06,+37.7929687500E+00,+37.5000000000E+00,-292.9687500E-03
+35.1000E-06,+38.0859375000E+00,+37.5976562500E+00,-488.2812500E-03
+35.2000E-06,+38.2812500000E+00,+37.6953125000E+00,-585.9375000E-03
+35.3000E-06,+37.8906250000E+00,+37.6953125000E+00,-195.3125000E-03
+35.4000E-06,+38.1835937500E+00,+37.6953125000E+00,-488.2812500E-03
+35.5000E-06,+38.2812500000E+00,+37.7929687500E+00,-488.2812500E-03
+35.6000E-06,+38.2812500000E+00,+37.8906250000E+00,-390.6250000E-03
+35.7000E-06,+38.2812500000E+00,+38.0859375000E+00,-195.3125000E-03
+35.8000E-06,+38.3789062500E+00,+37.7929687500E+00,-585.9375000E-03
+35.9000E-06,+38.2812500000E+00,+37.9882812500E+00,-292.9687500E-03
+36.0000E-06,+38.3789062500E+00,+37.8906250000E+00,-488.2812500E-03
+36.1000E-06,+38.6718750000E+00,+37.9882812500E+00,-683.5937500E-03
+36.2000E-06,+38.6718750000E+00,+38.0859375000E+00,-585.9375000E-03
+36.3000E-06,+38.3789062500E+00,+38.1835937500E+00,-195.3125000E-03
+36.4000E-06,+38.5742187500E+00,+38.2812500000E+00,-292.9687500E-03
+36.5000E-06,+38.4765625000E+00,+38.1835937500E+00,-292.9687500E-03
+36.6000E-06,+38.8671875000E+00,+38.1835937500E+00,-683.5937500E-03
+36.7000E-06,+38.7695312500E+00,+38.4765625000E+00,-292.9687500E-03
+36.8000E-06,+38.7695312500E+00,+38.5742187500E+00,-195.3125000E-03
+36.9000E-06,+38.7695312500E+00,+38.5742187500E+00,-195.3125000E-03
+37.0000E-06,+38.8671875000E+00,+38.4765625000E+00,-390.6250000E-03
+37.1000E-06,+39.0625000000E+00,+38.5742187500E+00,-488.2812500E-03
+37.2000E-06,+39.1601562500E+00,+38.4765625000E+00,-683.5937500E-03
+37.3000E-06,+39.1601562500E+00,+38.6718750000E+00,-488.2812500E-03
+37.4000E-06,+39.2578125000E+00,+38.7695312500E+00,-488.2812500E-03
+37.5000E-06,+39.1601562500E+00,+38.6718750000E+00,-488.2812500E-03
+37.6000E-06,+39.2578125000E+00,+38.7695312500E+00,-488.2812500E-03
+37.7000E-06,+39.2578125000E+00,+38.9648437500E+00,-292.9687500E-03
+37.8000E-06,+39.2578125000E+00,+38.8671875000E+00,-390.6250000E-03
+37.9000E-06,+39.3554687500E+00,+38.9648437500E+00,-390.6250000E-03
+38.0000E-06,+39.4531250000E+00,+38.9648437500E+00,-488.2812500E-03
+38.1000E-06,+39.3554687500E+00,+38.8671875000E+00,-488.2812500E-03
+38.2000E-06,+39.4531250000E+00,+38.9648437500E+00,-488.2812500E-03
+38.3000E-06,+39.8437500000E+00,+38.9648437500E+00,-878.9062500E-03
+38.4000E-06,+39.9414062500E+00,+39.0625000000E+00,-878.9062500E-03
+38.5000E-06,+39.8437500000E+00,+39.0625000000E+00,-781.2500000E-03
