x-axis,3,4,MATH
second,Volt,Volt,Volt
-52.8000E-06,-2.1484375000E+00,-3.7109375000E+00,-1.5625000000E+00
-52.6000E-06,-2.0507812500E+00,-3.7109375000E+00,-1.6601562500E+00
-52.4000E-06,-2.1484375000E+00,-3.6132812500E+00,-1.4648437500E+00
-52.2000E-06,-1.9531250000E+00,-3.5156250000E+00,-1.5625000000E+00
-52.0000E-06,-1.8554687500E+00,-3.4179687500E+00,-1.5625000000E+00
-51.8000E-06,-1.8554687500E+00,-3.3203125000E+00,-1.4648437500E+00
-51.6000E-06,-1.7578125000E+00,-3.2226562500E+00,-1.4648437500E+00
-51.4000E-06,-1.5625000000E+00,-3.2226562500E+00,-1.6601562500E+00
-51.2000E-06,-1.5625000000E+00,-3.1250000000E+00,-1.5625000000E+00
-51.0000E-06,-1.3671875000E+00,-2.9296875000E+00,-1.5625000000E+00
-50.8000E-06,-1.4648437500E+00,-2.9296875000E+00,-1.4648437500E+00
-50.6000E-06,-1.2695312500E+00,-2.7343750000E+00,-1.4648437500E+00
-50.4000E-06,-1.2695312500E+00,-2.7343750000E+00,-1.4648437500E+00
-50.2000E-06,-1.2695312500E+00,-2.6367187500E+00,-1.3671875000E+00
-50.0000E-06,-1.1718750000E+00,-2.5390625000E+00,-1.3671875000E+00
-49.8000E-06,-976.5625000E-03,-2.4414062500E+00,-1.4648437500E+00
-49.6000E-06,-878.9062500E-03,-2.4414062500E+00,-1.5625000000E+00
-49.4000E-06,-781.2500000E-03,-2.2460937500E+00,-1.4648437500E+00
-49.2000E-06,-781.2500000E-03,-2.2460937500E+00,-1.4648437500E+00
-49.0000E-06,-683.5937500E-03,-2.1484375000E+00,-1.4648437500E+00
-48.8000E-06,-585.9375000E-03,-2.0507812500E+00,-1.4648437500E+00
-48.6000E-06,-488.2812500E-03,-1.8554687500E+00,-1.3671875000E+00
-48.4000E-06,-292.9687500E-03,-1.8554687500E+00,-1.5625000000E+00
-48.2000E-06,-97.6562500E-03,-1.7578125000E+00,-1.6601562500E+00
-48.0000E-06,-97.6562500E-03,-1.6601562500E+00,-1.5625000000E+00
-47.8000E-06,+0.0E+00,-1.6601562500E+00,-1.6601562500E+00
-47.6000E-06,+0.0E+00,-1.4648437500E+00,-1.4648437500E+00
-47.4000E-06,+195.3125000E-03,-1.4648437500E+00,-1.6601562500E+00
-47.2000E-06,+195.3125000E-03,-1.2695312500E+00,-1.4648437500E+00
-47.0000E-06,+195.3125000E-03,-1.1718750000E+00,-1.3671875000E+00
-46.8000E-06,+292.9687500E-03,-1.0742187500E+00,-1.3671875000E+00
-46.6000E-06,+585.9375000E-03,-976.5625000E-03,-1.5625000000E+00
-46.4000E-06,+585.9375000E-03,-781.2500000E-03,-1.3671875000E+00
-46.2000E-06,+781.2500000E-03,-781.2500000E-03,-1.5625000000E+00
-46.0000E-06,+683.5937500E-03,-781.2500000E-03,-1.4648437500E+00
-45.8000E-06,+878.9062500E-03,-683.5937500E-03,-1.5625000000E+00
-45.6000E-06,+781.2500000E-03,-488.2812500E-03,-1.2695312500E+00
-45.4000E-06,+976.5625000E-03,-488.2812500E-03,-1.4648437500E+00
-45.2000E-06,+976.5625000E-03,-390.6250000E-03,-1.3671875000E+00
-45.0000E-06,+1.1718750000E+00,-97.6562500E-03,-1.2695312500E+00
-44.8000E-06,+1.1718750000E+00,-195.3125000E-03,-1.3671875000E+00
-44.6000E-06,+1.3671875000E+00,+0.0E+00,-1.3671875000E+00
-44.4000E-06,+1.2695312500E+00,+195.3125000E-03,-1.0742187500E+00
-44.2000E-06,+1.4648437500E+00,+97.6562500E-03,-1.3671875000E+00
-44.0000E-06,+1.6601562500E+00,+292.9687500E-03,-1.3671875000E+00
-43.8000E-06,+1.7578125000E+00,+292.9687500E-03,-1.4648437500E+00
-43.6000E-06,+1.8554687500E+00,+292.9687500E-03,-1.5625000000E+00
-43.4000E-06,+1.9531250000E+00,+390.6250000E-03,-1.5625000000E+00
-43.2000E-06,+1.7578125000E+00,+488.2812500E-03,-1.2695312500E+00
-43.0000E-06,+2.0507812500E+00,+585.9375000E-03,-1.4648437500E+00
-42.8000E-06,+2.1484375000E+00,+683.5937500E-03,-1.4648437500E+00
-42.6000E-06,+2.0507812500E+00,+878.9062500E-03,-1.1718750000E+00
-42.4000E-06,+2.2460937500E+00,+878.9062500E-03,-1.3671875000E+00
-42.2000E-06,+2.2460937500E+00,+1.1718750000E+00,-1.0742187500E+00
-42.0000E-06,+2.4414062500E+00,+1.1718750000E+00,-1.2695312500E+00
-41.8000E-06,+2.5390625000E+00,+1.1718750000E+00,-1.3671875000E+00
-41.6000E-06,+2.5390625000E+00,+1.1718750000E+00,-1.3671875000E+00
-41.4000E-06,+2.7343750000E+00,+1.3671875000E+00,-1.3671875000E+00
-41.2000E-06,+2.8320312500E+00,+1.4648437500E+00,-1.3671875000E+00
-41.0000E-06,+2.9296875000E+00,+1.6601562500E+00,-1.2695312500E+00
-40.8000E-06,+3.0273437500E+00,+1.6601562500E+00,-1.3671875000E+00
-40.6000E-06,+3.1250000000E+00,+1.7578125000E+00,-1.3671875000E+00
-40.4000E-06,+3.1250000000E+00,+1.8554687500E+00,-1.2695312500E+00
-40.2000E-06,+3.4179687500E+00,+1.9531250000E+00,-1.4648437500E+00
-40.0000E-06,+3.3203125000E+00,+2.0507812500E+00,-1.2695312500E+00
-39.8000E-06,+3.3203125000E+00,+1.9531250000E+00,-1.3671875000E+00
-39.6000E-06,+3.5156250000E+00,+2.2460937500E+00,-1.2695312500E+00
-39.4000E-06,+3.6132812500E+00,+2.2460937500E+00,-1.3671875000E+00
